Plant_name,Molecule,Canonical_SMILES,Formula,Molecular_Weight,`Heavy_atoms,Aromatic_heavy_atoms,Fraction_Csp3,Rotatable_bonds,H_bond_acceptors,H_bond_donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosIT_LogP,Consensus_LogP,ESOL_LogS,ESOL_Solubility1,ESOL_Solubility2,ESOL_Class,Ali_LogS,Ali_Solubility1,Ali_Solubility2,Ali_Class,SilicosIT_LogSw,SilicosIT_Solubility1,SilicosIT_Solubility2,SilicosIT_class,GI_absorption,BBB_permeant,Pgp_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,logKp,Lipinski_violations,Ghose_violations,Veber_violations,Egan_violations,Muegge_violations,Bioavailability_Score,PAINS_alert,Brenk_alert,Leadlikeness_violations,Synthetic_Accessibility
zanthoxylum chalybeum,(+)-Sesamin,C1Oc2c(O1)cc(cc2)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,C20H18O6,354.35,26,12,0.4,2,6,0,90,55.38,3.46,2.68,2.57,1.98,3.25,2.79,-3.93,4.12E-02,1.16E-04,Soluble,-3.5,1.13E-01,3.20E-04,Soluble,-4.6,8.98E-03,2.54E-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,0,1,4.12
zanthoxylum chalybeum,Magnoflorine,COc1ccc2c(c1O)c1c(O)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3,C20H24NO4,342.41,25,12,0.4,2,4,2,101.87,58.92,-0.66,2.74,2.31,-1.71,3.01,1.14,-3.91,4.19E-02,1.22E-04,Soluble,-3.63,7.99E-02,2.33E-04,Soluble,-5.69,7.04E-04,2.06E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,Yes,-6.44,0,0,0,0,0,0.55,0,1,0,3.78
zanthoxylum chalybeum,Palmatine,COc1cc2CC[n+]3c(c2cc1OC)cc1c(c3)c(OC)c(cc1)OC,C21H22NO4,352.4,26,16,0.29,4,4,0,101.79,40.8,0.1,3.75,3.38,2.01,3.97,2.64,-4.58,9.30E-03,2.64E-05,Moderately soluble,-4.3,1.77E-02,5.02E-05,Moderately soluble,-6.42,1.35E-04,3.83E-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.79,0,0,0,0,0,0.55,0,1,2,3.18
zanthoxylum chalybeum,Tembetarine,COc1ccc(cc1O)C[C@H]1c2cc(O)c(cc2CC[N]1(C)C)OC,C20H26NO4,344.42,25,12,0.4,4,4,2,102.87,62.16,-0.31,3.03,2.35,1.98,2.98,2,-3.98,3.64E-02,1.06E-04,Soluble,-4,3.44E-02,9.98E-05,Moderately soluble,-5.82,5.24E-04,1.52E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,0,0,0,3.21
zanthoxylum chalybeum,Oblongine,COc1ccc2c(c1O)[C@@H](Cc1ccc(cc1)O)[N+](CC2)(C)C,C19H24NO3,314.4,23,12,0.37,3,3,2,96.38,49.69,-0.67,3.06,2.32,-1.37,2.92,1.25,-3.91,3.91E-02,1.24E-04,Soluble,-3.77,5.34E-02,1.70E-04,Soluble,-5.71,6.16E-04,1.96E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.05,0,0,0,0,0,0.55,1,1,0,3.18
coffea spp.,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,C8H10N4O2,194.19,14,9,0.38,0,3,0,52.04,61.82,1.79,-0.07,-1.03,-0.19,-0.5,0,-1.48,6.50E+00,3.35E-02,Very soluble,-0.78,3.25E+01,1.67E-01,Very soluble,-0.67,4.15E+01,2.14E-01,Soluble,High,No,No,No,No,No,No,No,-7.53,0,1,0,0,1,0.55,0,0,1,2.03
coffea spp.,Trigonelline,C[n+]1cccc(c1)C(=O)[O-],C7H7NO2,137.14,10,6,0.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,0.36,-0.61,-1.39,5.59E+00,4.08E-02,Very soluble,-1,1.36E+01,9.89E-02,Very soluble,-0.94,1.59E+01,1.16E-01,Soluble,High,No,No,No,No,No,No,No,-6.77,0,4,0,0,1,0.55,0,1,1,1.04
coffea spp.,Cafestol,OC[C@@]1(O)C[C@@]23C[C@H]1CC[C@H]3[C@]1([C@H](CC2)c2ccoc2CC1)C,C20H28O3,316.43,23,5,0.8,1,3,2,89.32,53.6,2.76,3.28,3.64,2.89,3.68,3.25,-3.96,3.44E-02,1.09E-04,Soluble,-4.08,2.63E-02,8.31E-05,Moderately soluble,-4.39,1.30E-02,4.11E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.9,0,0,0,0,0,0.55,0,0,0,5.91
Carica papaya,Gibberellin A1,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)CC[C@@H]([C@@]2(C)C(=O)O3)O,C19H24O6,348.39,25,0,0.79,1,6,3,87.34,104.06,1.74,0.23,1.25,1.75,1.72,1.34,-2.08,2.91E+00,8.34E-03,Soluble,-1.98,3.69E+00,1.06E-02,Very soluble,-1.93,4.09E+00,1.17E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.26,0,0,0,0,0,0.56,0,1,0,5.96
Carica papaya,Gibberellin A3,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)C=C[C@@H]([C@@]2(C)C(=O)O3)O,C19H22O6,346.37,25,0,0.68,1,6,3,86.87,104.06,1.69,0.24,1.03,1.66,1.31,1.18,-2.07,2.93E+00,8.46E-03,Soluble,-1.99,3.58E+00,1.03E-02,Very soluble,-1.46,1.19E+01,3.44E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.24,0,0,0,0,0,0.56,0,1,0,6.69
Carica papaya,Gibberellin A35,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@@H](C5)C[C@@H]4O)CC[C@@H]([C@@]2(C)C(=O)O3)O,C19H24O6,348.39,25,0,0.79,1,6,3,87.3,104.06,1.71,0.52,1.11,1.75,1.32,1.28,-2.26,1.91E+00,5.47E-03,Soluble,-2.28,1.85E+00,5.30E-03,Soluble,-1.48,1.15E+01,3.30E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.06,0,0,0,0,0,0.56,0,1,0,6.06
Carica papaya,Gibberellin A55,OC(=O)[C@H]1[C@H]2[C@@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)OC(=O)[C@]2(C)[C@H](C[C@H]3O)O,C19H24O7,364.39,26,0,0.79,1,7,4,88.5,124.29,1.37,-0.75,0.22,0.95,0.82,0.52,-1.56,1.00E+01,2.75E-02,Very soluble,-1.38,1.51E+01,4.14E-02,Very soluble,-1.11,2.80E+01,7.69E-02,Soluble,High,No,Yes,No,No,No,No,No,-9.06,0,0,0,0,0,0.56,0,1,1,6.15
Carica papaya,p-Coumaric acid,OC(=O)/C=C/c1ccc(cc1)O,C9H8O3,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61
Carica papaya,Hexanal,CCCCCC=O,C6H12O,100.16,7,0,0.83,4,1,0,31.16,17.07,1.77,1.78,1.77,1.39,1.58,1.66,-1.32,4.81E+00,4.80E-02,Very soluble,-1.76,1.75E+00,1.75E-02,Very soluble,-1.76,1.76E+00,1.75E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.65,0,3,0,0,2,0.55,0,1,1,1.06
Carica papaya,p-Coumaryl alcohol,OC/C=C/c1ccc(cc1)O,C9H10O2,150.17,11,6,0.11,2,2,2,44.52,40.46,1.51,1.32,1.29,1.44,1.68,1.45,-1.87,2.01E+00,1.34E-02,Very soluble,-1.77,2.55E+00,1.70E-02,Very soluble,-1.72,2.84E+00,1.89E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.28,0,1,0,0,1,0.55,0,0,1,1.47
Carica papaya,Coniferyl alcohol,OC/C=C/c1ccc(c(c1)OC)O,C10H12O3,180.2,13,6,0.2,3,3,2,51.02,49.69,2.16,1.79,1.3,1.13,1.71,1.62,-2.23,1.06E+00,5.91E-03,Soluble,-2.45,6.36E-01,3.53E-03,Soluble,-1.87,2.44E+00,1.35E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.13,0,0,0,0,1,0.55,0,0,1,1.86
Carica papaya,Caffeic acid,OC(=O)/C=C/c1ccc(c(c1)O)O,C9H8O4,180.16,13,6,0,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.75,0.93,-1.89,2.32E+00,1.29E-02,Very soluble,-2.38,7.55E-01,4.19E-03,Soluble,-0.71,3.51E+01,1.95E-01,Soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,1,0.56,1,2,1,1.81
Carica papaya,(E)-geraniol,OC/C=C(/CCC=C(C)C)\C,C10H18O,154.25,11,0,0.6,4,1,1,50.4,20.23,2.52,3.56,2.67,2.59,2.35,2.74,-2.78,2.59E-01,1.68E-03,Soluble,-3.67,3.30E-02,2.14E-04,Soluble,-1.84,2.20E+00,1.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.71,0,1,0,0,2,0.55,0,1,2,2.58
Carica papaya,Geranylgeranyl diphosphate,C/C(=C\CC/C(=C/COP(=O)(OP(=O)(O)O)O)/C)/CC/C=C(/CCC=C(C)C)\C,C20H36O7P2,450.44,29,0,0.6,14,7,3,119.34,132.91,2.52,3.56,6.36,2.59,2.35,2.74,-2.78,2.59E-01,1.68E-03,Soluble,-3.67,3.30E-02,2.14E-04,Soluble,-1.84,2.20E+00,1.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.71,0,1,0,0,2,0.55,0,1,2,2.58
Carica papaya,Naringenin,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,C15H12O5,272.25,20,12,0.13,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,2.05,1.84,-3.49,8.74E-02,3.21E-04,Soluble,-3.99,2.77E-02,1.02E-04,Soluble,-3.42,1.04E-01,3.82E-04,Soluble,High,No,Yes,Yes,No,No,No,Yes,-6.17,0,0,0,0,0,0.55,0,0,0,3.01
Carica papaya,alpha-D-Galactopyranose,OC[C@@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)O,C6H12O6,180.16,12,0,1,1,6,5,35.74,110.38,0.56,-3.24,-3.22,-2.75,-2.3,-2.19,1.15,2.55E+03,1.41E+01,Highly soluble,1.49,5.61E+03,3.11E+01,Highly soluble,2.62,7.42E+04,4.12E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.7,0,2,0,0,2,0.55,0,0,1,4.08
Carica papaya,Glucose,OC[C@H]1O[C@H](O)[C@H]([C@H]([C@H]1O)O)O,C6H12O6,180.16,12,0,1,1,6,5,35.74,110.38,0.2,-3.24,-3.22,-2.75,-2.3,-2.26,1.15,2.55E+03,1.41E+01,Highly soluble,1.49,5.61E+03,3.11E+01,Highly soluble,2.62,7.42E+04,4.12E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.7,0,2,0,0,2,0.55,0,0,1,4.08
Carica papaya,Sedoheptulose,OC[C@@H]1O[C@](O)(CO)[C@H]([C@H]([C@H]1O)O)O,C7H14O7,210.18,14,0,1,2,7,6,41.74,130.61,-0.05,-2.9,-3.86,-3.2,-2.46,-2.49,0.82,1.38E+03,6.54E+00,Highly soluble,0.72,1.09E+03,5.19E+00,Highly soluble,2.56,7.60E+04,3.61E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.64,1,1,0,0,2,0.55,0,0,1,4.22
Carica papaya,Sucrose,OC[C@H]1O[C@@]([C@@H]([C@H]1O)O)(CO)O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)O)O,C12H22O11,342.3,23,0,1,5,11,8,68.16,189.53,0.25,-3.7,-5.4,-4.37,-3.86,-3.41,0.7,1.71E+03,5.00E+00,Highly soluble,0.31,6.96E+02,2.03E+00,Highly soluble,3.67,1.62E+06,4.73E+03,Soluble,Low,No,Yes,No,No,No,No,No,-11.02,2,1,1,1,4,0.17,0,0,0,5.16
Carica papaya,Inositol,O[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,C6H12O6,180.16,12,0,1,0,6,6,35.81,121.38,0.31,-3.71,-3.83,-3.16,-2.95,-2.67,1.38,4.32E+03,2.40E+01,Highly soluble,1.75,1.01E+04,5.62E+01,Highly soluble,3.29,3.48E+05,1.93E+03,Soluble,Low,No,Yes,No,No,No,No,No,-10.03,1,2,0,0,3,0.55,0,0,1,3.53
Carica papaya,Acetic acid,CC(=O)O,C2H4O2,60.05,4,0,0.5,0,2,1,13.5,37.3,0.63,-0.21,0.09,-0.49,-0.48,-0.09,-0.08,4.99E+01,8.32E-01,Very soluble,-0.12,4.59E+01,7.65E-01,Very soluble,0.53,2.05E+02,3.42E+00,Soluble,High,No,No,No,No,No,No,No,-6.82,0,3,0,0,2,0.85,0,0,1,1
Carica papaya,Adipic acid,OC(=O)CCCCC(=O)O,C6H10O4,146.14,10,0,0.67,5,4,2,34.5,74.6,0.77,0.08,0.72,0.25,0.08,0.38,-0.47,4.99E+01,3.42E-01,Very soluble,-1.2,9.20E+00,6.30E-02,Very soluble,-0.23,8.71E+01,5.96E-01,Soluble,High,No,No,No,No,No,No,No,-7.13,0,2,0,0,1,0.85,0,0,1,1.17
Carica papaya,(+)-Ascorbic acid,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,C6H8O6,176.12,12,0,0.5,2,6,4,35.12,107.22,-0.31,-1.64,-1.41,-2.6,-1.15,-1.42,0.23,3.01E+02,1.71E+00,Highly soluble,-0.1,1.40E+02,7.93E-01,Very soluble,1.49,5.46E+03,3.10E+01,Soluble,High,No,No,No,No,No,No,No,-8.54,0,2,0,0,1,0.56,0,0,1,3.47
Carica papaya,Butanoic acid,CCCC(=O)O,C4H8O2,88.11,6,0,0.75,2,2,1,23.11,37.3,1.1,0.79,0.87,0.49,0.13,0.68,-0.75,1.56E+01,1.77E-01,Very soluble,-1.15,6.18E+00,7.01E-02,Very soluble,-0.35,3.94E+01,4.48E-01,Soluble,High,Yes,No,No,No,No,No,No,-6.28,0,3,0,0,2,0.85,0,0,1,1
Carica papaya,Fumaric acid,OC(=O)/C=C/C(=O)O,C4H4O4,116.07,8,0,0,2,4,2,24.41,74.6,0.32,-0.34,-0.29,-0.64,-0.81,-0.35,-0.21,7.10E+01,6.12E-01,Very soluble,-0.76,1.99E+01,1.72E-01,Very soluble,1.34,2.52E+03,2.17E+01,Soluble,High,No,No,No,No,No,No,No,-7.25,0,3,0,0,2,0.85,0,1,1,1.8
Carica papaya,Succinic acid,OC(=O)CCC(=O)O,C4H6O4,118.09,8,0,0.5,3,4,2,24.89,74.6,0,-0.59,-0.06,-0.54,-0.63,-0.36,0,1.17E+02,9.94E-01,Very soluble,-0.51,3.69E+01,3.12E-01,Very soluble,0.61,4.86E+02,4.11E+00,Soluble,High,No,No,No,No,No,No,No,-7.44,0,3,0,0,2,0.85,0,0,1,1.29
Carica papaya,Caproic acid,CCCCCC(=O)O,C6H12O2,116.16,8,0,0.83,4,2,1,32.73,37.3,1.57,1.92,1.65,1.27,0.93,1.47,-1.51,3.62E+00,3.12E-02,Very soluble,-2.33,5.47E-01,4.71E-03,Soluble,-1.21,7.23E+00,6.22E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.65,0,2,0,0,1,0.85,0,0,1,1.17
Carica papaya,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,18,0,0.94,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.25,5.2,-5.02,2.43E-03,9.49E-06,Moderately soluble,-7.77,4.31E-06,1.68E-08,Poorly soluble,-5.31,1.25E-03,4.88E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-2.77,1,0,1,0,1,0.85,0,0,2,2.31
Carica papaya,Octadecanoic acid,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.48,20,0,0.94,16,2,1,90.41,37.3,4.3,8.23,6.33,4.67,6.13,5.93,-5.73,5.26E-04,1.85E-06,Moderately soluble,-8.87,3.80E-07,1.33E-09,Poorly soluble,-6.11,2.19E-04,7.71E-07,Poorly soluble,High,No,No,Yes,No,No,No,No,-2.19,1,1,1,1,2,0.85,0,0,2,2.54
Carica papaya,Naphthalene,c1ccc2c(c1)cccc2,C10H8,128.17,10,10,0,0,0,0,43.95,0,1.99,3.3,2.84,4.26,3.11,3.1,-3.45,4.51E-02,3.52E-04,Soluble,-2.98,1.36E-01,1.06E-03,Soluble,-4.03,1.19E-02,9.27E-05,Moderately soluble,Low,Yes,No,Yes,No,No,No,No,-4.74,1,2,0,0,2,0.55,0,0,1,1
Carica papaya,n-Pentadecane,CCCCCCCCCCCCCCC,C15H32,212.41,15,0,1,12,0,0,74.22,0,4.5,7.74,6.1,6.19,5.77,6.06,-5.24,1.22E-03,5.74E-06,Moderately soluble,-7.58,5.55E-06,2.61E-08,Poorly soluble,-5.92,2.54E-04,1.19E-06,Moderately soluble,Low,No,No,Yes,No,No,No,No,-2.1,1,1,1,1,2,0.55,0,0,3,2.15
Carica papaya,GABA,NCCCC(=O)O,C4H9NO2,103.12,7,0,0.75,3,3,2,25.82,63.32,0.72,-3.17,-0.19,-0.39,-0.56,-0.72,1.72,5.36E+03,5.20E+01,Highly soluble,2.41,2.64E+04,2.56E+02,Highly soluble,-0.04,9.51E+01,9.23E-01,Soluble,High,No,No,No,No,No,No,No,-9.18,0,3,0,0,3,0.55,0,0,1,1
Carica papaya,L-Citrulline,NC(=O)NCCC[C@@H](C(=O)O)N,C6H13N3O3,175.19,12,0,0.67,6,4,4,41.53,118.44,0.16,-3.19,-1.15,-3.21,-1.74,-1.83,1.48,5.29E+03,3.02E+01,Highly soluble,1.27,3.28E+03,1.87E+01,Highly soluble,0.2,2.80E+02,1.60E+00,Soluble,High,No,No,No,No,No,No,No,-9.63,0,1,0,0,2,0.55,0,0,1,1.85
Carica papaya,L-Glutamic acid,OC(=O)CC[C@@H](C(=O)O)N,C5H9NO4,147.13,10,0,0.6,4,5,3,32.4,100.62,0.4,-3.69,-0.74,-3.18,-1.19,-1.68,1.84,1.01E+04,6.86E+01,Highly soluble,2.16,2.15E+04,1.46E+02,Highly soluble,0.89,1.15E+03,7.83E+00,Soluble,High,No,No,No,No,No,No,No,-9.82,0,4,0,0,2,0.56,0,0,1,1.81
Carica papaya,L-Histidine,N[C@H](C(=O)O)Cc1c[nH]cn1,C6H9N3O2,155.15,11,5,0.33,3,4,3,37.65,92,-0.13,-3.56,-0.64,-3.74,-0.06,-1.63,1.3,3.11E+03,2.01E+01,Highly soluble,2.21,2.52E+04,1.63E+02,Highly soluble,-0.69,3.18E+01,2.05E-01,Soluble,High,No,No,No,No,No,No,No,-9.77,0,3,0,0,2,0.55,0,0,1,2.29
Carica papaya,Tryptamine,NCCc1c[nH]c2c1cccc2,C10H12N2,160.22,12,9,0.2,2,1,2,50.78,41.81,1.54,0.7,1.67,1.26,2.46,1.53,-1.7,3.22E+00,2.01E-02,Very soluble,-1.16,1.12E+01,6.99E-02,Very soluble,-3.72,3.04E-02,1.90E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.78,0,0,0,0,1,0.55,0,0,1,1.36
Carica papaya,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,C8H10N4O2,194.19,14,9,0.38,0,3,0,52.04,61.82,1.79,-0.07,-1.03,-0.19,-0.5,0,-1.48,6.50E+00,3.35E-02,Very soluble,-0.78,3.25E+01,1.67E-01,Very soluble,-0.67,4.15E+01,2.14E-01,Soluble,High,No,No,No,No,No,No,No,-7.53,0,1,0,0,1,0.55,0,0,1,2.03
Carica papaya,Trigonelline,C[n+]1cccc(c1)C(=O)[O-],C7H7NO2,137.14,10,6,0.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,0.36,-0.61,-1.39,5.59E+00,4.08E-02,Very soluble,-1,1.36E+01,9.89E-02,Very soluble,-0.94,1.59E+01,1.16E-01,Soluble,High,No,No,No,No,No,No,No,-6.77,0,4,0,0,1,0.55,0,1,1,1.04
Carica papaya,Carpaine,O=C1CCCCCCC[C@@H]2CC[C@@H]([C@@H](N2)C)OC(=O)CCCCCCC[C@@H]2CC[C@H](O1)[C@H](C)N2,C28H50N2O4,478.71,34,0,0.93,0,6,2,146.37,76.66,4.35,6.29,4.8,3.75,3.63,4.56,-6.77,8.12E-05,1.70E-07,Poorly soluble,-7.69,9.81E-06,2.05E-08,Poorly soluble,-5.71,9.29E-04,1.94E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-4.75,0,2,0,0,1,0.55,0,1,2,6.82
Carica papaya,Protocatechuic acid,OC(=O)c1ccc(c(c1)O)O,C7H6O4,154.12,11,6,0,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.26,0.65,-1.86,2.14E+00,1.39E-02,Very soluble,-2.38,6.46E-01,4.19E-03,Soluble,-0.6,3.83E+01,2.48E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.42,0,3,0,0,1,0.56,1,1,1,1.07
Carica papaya,Vanillic acid,COc1cc(ccc1O)C(=O)O,C8H8O4,168.15,12,6,0.12,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
Carica papaya,Danielone,OCC(=O)c1cc(OC)c(c(c1)OC)O,C10H12O5,212.2,15,6,0.3,4,5,2,52.81,75.99,1.63,-0.44,0.58,-0.28,1.14,0.53,-0.91,2.61E+01,1.23E-01,Very soluble,-0.69,4.33E+01,2.04E-01,Very soluble,-1.86,2.91E+00,1.37E-02,Soluble,High,No,No,No,No,No,No,No,-7.91,0,0,0,0,0,0.55,0,0,1,1.78
Carica papaya,3-O-Caffeoylquinic acid,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.5,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.50E+00,2.40E-02,Very soluble,-2.58,9.42E-01,2.66E-03,Soluble,0.4,8.94E+02,2.52E+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16
Carica papaya,Cinnamaldehyde,O=C/C=C/c1ccccc1,C9H8O,132.16,10,6,0,2,1,0,41.54,17.07,1.65,1.9,1.79,2.01,2.48,1.97,-2.17,8.97E-01,6.79E-03,Soluble,-1.88,1.74E+00,1.31E-02,Very soluble,-2.4,5.26E-01,3.98E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.76,0,2,0,0,2,0.55,0,2,1,1.65
Carica papaya,Coniferaldehyde,O=C/C=C/c1ccc(c(c1)OC)O,C10H10O3,178.18,13,6,0.1,3,3,1,50.06,46.53,1.75,1.51,1.5,1.04,2.01,1.56,-2.04,1.63E+00,9.13E-03,Soluble,-2.1,1.43E+00,8.03E-03,Soluble,-1.99,1.84E+00,1.03E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.55,0,2,1,1.88
Carica papaya,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.18,14,6,0.1,3,4,2,51.63,66.76,1.62,1.51,1.39,1,1.26,1.36,-2.11,1.49E+00,7.68E-03,Soluble,-2.52,5.86E-01,3.02E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.85,0,1,1,1.93
Carica papaya,Sinapaldehyde,COc1cc(/C=C/C=O)cc(c1O)OC,C11H12O4,208.21,15,6,0.18,4,4,1,56.55,55.76,1.97,1.4,1.51,0.75,2.07,1.54,-2.04,1.88E+00,9.02E-03,Soluble,-2.17,1.39E+00,6.68E-03,Soluble,-2.12,1.57E+00,7.53E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,2,1,2.14
Carica papaya,Sinapic acid,COc1cc(/C=C/C(=O)O)cc(c1O)OC,C11H12O5,224.21,16,6,0.18,4,5,2,58.12,75.99,1.63,1.46,1.4,0.73,1.33,1.31,-2.16,1.54E+00,6.86E-03,Soluble,-2.66,4.88E-01,2.18E-03,Soluble,-1.55,6.33E+00,2.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.63,0,0,0,0,0,0.56,0,1,1,2.17
Carica papaya,Sinapyl alcohol,OC/C=C/c1cc(OC)c(c(c1)OC)O,C11H14O4,210.23,15,6,0.27,4,4,2,57.51,58.92,2.19,1.27,1.31,0.84,1.76,1.47,-1.98,2.22E+00,1.06E-02,Very soluble,-2.11,1.65E+00,7.83E-03,Soluble,-2,2.08E+00,9.91E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,0,1,2.12
Carica papaya,linalool,C=C[C@@](CCC=C(C)C)(O)C,C10H18O,154.25,11,0,0.6,4,1,1,50.44,20.23,2.71,2.97,2.67,2.59,2.35,2.66,-2.4,6.09E-01,3.95E-03,Soluble,-3.06,1.35E-01,8.75E-04,Soluble,-1.84,2.20E+00,1.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.13,0,1,0,0,2,0.55,0,1,1,2.74
Carica papaya,beta-Caryophyllene,CC1=CCCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,2.78E-02,1.36E-04,Soluble,-4.1,1.64E-02,8.01E-05,Moderately soluble,-3.77,3.49E-02,1.71E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
Carica papaya,Nerolidol,C=C[C@](CC/C=C(/CCC=C(C)C)\C)(O)C,C15H26O,222.37,16,0,0.6,7,1,1,74,20.23,3.64,4.83,4.4,3.86,4.21,4.19,-3.8,3.53E-02,1.59E-04,Soluble,-4.99,2.29E-03,1.03E-05,Moderately soluble,-3.15,1.56E-01,7.00E-04,Soluble,High,Yes,No,Yes,No,Yes,No,No,-4.23,0,0,0,0,1,0.55,0,1,2,3.53
Carica papaya,alpha-Zingiberene,CC(=CCC[C@@H]([C@@H]1CC=C(C=C1)C)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.65,5.17,4.89,4.53,4.09,4.47,-4.1,1.62E-02,7.94E-05,Moderately soluble,-4.92,2.48E-03,1.21E-05,Moderately soluble,-3.1,1.62E-01,7.91E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.88,1,0,0,0,2,0.55,0,1,2,4.81
